Slug,Difficulty,Paid
construct-the-minimum-bitwise-array-ii,Medium,False
find-x-sum-of-all-k-long-subarrays-i,Easy,False
minimum-element-after-replacement-with-digit-sum,Easy,False
construct-the-minimum-bitwise-array-i,Easy,False
find-the-number-of-possible-ways-for-an-event,Hard,False
find-the-k-th-character-in-string-game-ii,Hard,False
find-the-k-th-character-in-string-game-i,Easy,False
find-x-sum-of-all-k-long-subarrays-ii,Hard,False
count-the-number-of-winning-sequences,Hard,False
find-the-lexicographically-smallest-valid-sequence,Medium,False
sorted-gcd-pair-queries,Hard,False
find-indices-of-stable-mountains,Easy,False
the-two-sneaky-numbers-of-digitville,Easy,False
find-the-occurrence-of-first-almost-equal-substring,Hard,False
maximum-possible-number-by-binary-concatenation,Medium,False
construct-2d-grid-matching-graph-layout,Hard,False
find-the-maximum-sequence-value-of-array,Hard,False
count-substrings-that-can-be-rearranged-to-contain-a-string-i,Medium,False
count-substrings-that-can-be-rearranged-to-contain-a-string-ii,Hard,False
length-of-the-longest-increasing-path,Hard,False
count-of-substrings-containing-every-vowel-and-k-consonants-i,Medium,False
count-of-substrings-containing-every-vowel-and-k-consonants-ii,Medium,False
find-the-key-of-the-numbers,Easy,False
convert-date-to-binary,Easy,False
select-cells-in-grid-with-maximum-score,Hard,False
remove-methods-from-project,Medium,False
maximum-number-of-moves-to-kill-all-pawns,Hard,False
minimum-number-of-valid-strings-to-form-target-i,Medium,False
find-a-safe-walk-through-a-grid,Medium,False
minimum-number-of-valid-strings-to-form-target-ii,Hard,False
final-array-state-after-k-multiplication-operations-ii,Hard,False
final-array-state-after-k-multiplication-operations-i,Easy,False
check-if-two-chessboard-squares-have-the-same-color,Easy,False
find-the-largest-palindrome-divisible-by-k,Hard,False
maximum-xor-score-subarray-queries,Hard,False
maximum-value-sum-by-placing-three-rooks-i,Hard,False
find-the-count-of-good-integers,Hard,False
count-substrings-that-satisfy-k-constraint-ii,Hard,False
count-almost-equal-pairs-ii,Hard,False
count-substrings-that-satisfy-k-constraint-i,Easy,False
maximum-value-sum-by-placing-three-rooks-ii,Hard,False
report-spam-message,Medium,False
hash-divided-string,Medium,False
find-the-count-of-monotonic-pairs-ii,Hard,False
find-the-count-of-monotonic-pairs-i,Hard,False
count-almost-equal-pairs-i,Medium,False
snake-in-matrix,Easy,False
time-taken-to-mark-all-nodes,Hard,False
minimum-amount-of-damage-dealt-to-bob,Hard,False
odd-and-even-transactions,Medium,False
reach-end-of-array-with-max-score,Medium,False
alternating-groups-iii,Hard,False
minimum-number-of-flips-to-make-binary-grid-palindromic-i,Medium,False
