Slug,Difficulty,Paid
premier-league-table-ranking-iii,Medium,True
find-top-performing-driver,Medium,True
sum-of-consecutive-subsequences,Hard,True
convert-doubly-linked-list-to-array-ii,Medium,True
calculate-product-final-price,Medium,True
sum-of-consecutive-subarrays,Medium,True
maximum-total-area-occupied-by-pistons,Hard,True
find-candidates-for-data-scientist-position-ii,Medium,True
constructing-two-increasing-arrays,Hard,True
find-overlapping-shifts-ii,Hard,True
convert-doubly-linked-list-to-array-i,Easy,True
find-overlapping-shifts,Medium,True
minimize-connected-groups-by-inserting-interval,Medium,True
premier-league-table-ranking-ii,Medium,True
premier-league-table-ranking,Easy,True
ceo-subordinate-hierarchy,Hard,True
minimum-number-of-increasing-subsequence-to-be-removed,Hard,True
customer-purchasing-behavior-analysis,Medium,True
alt-and-tab-simulation,Medium,True
number-of-subsequences-with-odd-sum,Medium,True
maximum-array-hopping-score-ii,Medium,True
count-triplets-with-even-xor-set-bits-ii,Medium,True
year-on-year-growth-rate,Hard,True
maximum-array-hopping-score-i,Medium,True
bitwise-user-permissions-analysis,Medium,True
count-triplets-with-even-xor-set-bits-i,Easy,True
find-cities-in-each-state,Easy,True
minimum-moves-to-get-a-peaceful-board,Medium,True
find-top-scoring-students-ii,Hard,True
find-the-last-marked-nodes-in-tree,Hard,True
the-number-of-ways-to-make-the-sum,Medium,True
find-top-scoring-students,Medium,True
second-day-verification,Easy,True
construct-string-with-minimum-cost-easy,Medium,True
better-compression-of-string,Medium,True
calculate-parking-fees-and-duration,Medium,True
bitwise-or-of-adjacent-elements,Easy,True
find-the-level-of-tree-with-minimum-sum,Medium,True
employee-task-duration-and-concurrent-tasks,Hard,True
maximum-number-of-upgradable-servers,Medium,True
invalid-tweets-ii,Easy,True
maximum-hamming-distances,Hard,True
consecutive-available-seats-ii,Medium,True
equalize-strings-by-adding-or-removing-characters-at-ends,Medium,True
server-utilization-time,Medium,True
maximum-number-that-makes-result-of-bitwise-and-zero,Medium,True
find-longest-calls,Medium,True
maximum-number-of-potholes-that-can-be-fixed,Medium,True
friday-purchase-iii,Medium,True
find-the-index-of-permutation,Medium,True
find-longest-self-contained-substring,Hard,True
